date,gold_sentiment,source
2019-05-17,-0.9999997715250526,The Asian Age
2019-05-17,0.9999957109319961,Business Today
2019-05-16,0.9797005226753769,Graphic Online
2019-05-19,0.9999825157451804,7NEWS
2019-05-22,0.9999939374901974,U.S. Gold Bureau
2019-05-24,2.462646236178707e-07,Firstpost
2019-05-22,0.9999715879749622,XTB.com
2019-05-22,0.9999907173959991,Next Investors
2019-05-24,0.9996850860013268,BBC
2019-05-23,0.9998113892820785,Daily Mail
2019-05-27,0.944191954301162,VOA - Voice of America English News
2019-05-30,0.7536091653760428,ETF Trends
2019-05-28,0.9995549264387298,Smithsonian Magazine
2019-05-31,0.0048842412173900765,The New Indian Express
2019-05-30,0.997901751255691,CBC
2019-05-30,0.9998734596310698,Los Angeles Times - eNewspaper
2019-05-27,0.9999585142495805,VOA - Voice of America English News
2019-05-29,-8.183311938237542e-11,smallcaps.com.au
2019-05-30,-0.4495271887540739,BusinessLIVE
2019-05-30,0.999989522426353,CBC
2019-05-27,0.999594822263864,heraldonline.co.zw
2019-06-04,7.79972940040869e-05,Investing News Network
2019-06-05,-0.7966554328580271,New York Post
2019-06-05,-0.9999892961761613,MarketWatch
2019-06-04,0.9998114546897444,NS Energy
2019-06-03,0.587337779361095,Northern Ontario Business
2019-05-31,0.004884224583968156,The New Indian Express
2019-06-03,-0.9983967351326837,Mongabay
2019-06-05,0.00016185250194682892,Mining.com
2019-06-04,0.9999903662483297,MarketWatch
2019-06-04,9.554209772508551e-14,financialexpress.com
2019-06-04,0.7080330170011037,"The Courier | Ballarat, VIC"
2019-06-09,0.9998627484912023,Investing News Network
2019-06-05,-0.7966554328580271,New York Post
2019-06-10,-0.9997062757364131,Bloomberg.com
2019-06-05,-0.9999892961761613,MarketWatch
2019-06-06,0.9999882988432912,World Gold Council
2019-06-09,0.8687498000789192,Investing Haven
2019-06-10,2.0396750979201222e-08,BBC
2019-06-07,7.174562913984505e-09,MarketWatch
2019-06-06,-2.1946695557640055e-08,News24
2019-06-07,0.8309850584862748,Punch Newspapers
2019-06-10,0.9998266576929047,Africa Feeds
2019-06-15,-0.9908120751958924,ScienceDirect.com
2019-06-11,0.9716583399542653,USFunds
2019-06-14,1.0949433504410503e-07,MarketWatch
2019-06-10,-0.999706276136574,Bloomberg.com
2019-06-13,0.9998581615922462,Stabroek News
2019-06-11,0.6766769129655803,Mining Technology
2019-06-10,2.0396713446734714e-08,BBC
2019-06-11,2.2432820922027585e-10,Mining.com
2019-06-11,0.9999735101113496,allAfrica.com
2019-06-13,0.5165827823585296,Businessday NG
