,Den,iPhone
444,2020-03-19,59.82128514056225
445,2020-03-20,63.68072289156627
446,2020-03-21,63.68072289156627
447,2020-03-22,61.75100401606426
448,2020-03-23,55.96184738955824
449,2020-03-24,57.89156626506025
450,2020-03-25,55.96184738955824
451,2020-03-26,59.82128514056225
452,2020-03-27,55.96184738955824
453,2020-03-28,65.61044176706828
454,2020-03-29,63.68072289156627
455,2020-03-30,57.89156626506025
456,2020-03-31,61.75100401606426
457,2020-04-01,58.80244755244755
458,2020-04-02,58.80244755244755
459,2020-04-03,60.69930069930069
460,2020-04-04,64.49300699300699
461,2020-04-05,60.69930069930069
462,2020-04-06,62.59615384615384
463,2020-04-07,60.69930069930069
464,2020-04-08,64.49300699300699
465,2020-04-09,60.69930069930069
466,2020-04-10,64.49300699300699
467,2020-04-11,66.38986013986013
468,2020-04-12,68.28671328671328
469,2020-04-13,64.49300699300699
470,2020-04-14,62.59615384615384
471,2020-04-15,81.5646853146853
472,2020-04-16,91.04895104895104
473,2020-04-17,87.25524475524475
474,2020-04-18,83.46153846153845
475,2020-04-19,79.66783216783216
476,2020-04-20,72.08041958041959
477,2020-04-21,70.18356643356643
478,2020-04-22,72.08041958041959
479,2020-04-23,70.18356643356643
480,2020-04-24,75.87412587412587
481,2020-04-25,73.97727272727273
482,2020-04-26,77.77097902097901
483,2020-04-27,73.97727272727273
484,2020-04-28,72.08041958041959
485,2020-04-29,68.28671328671328
486,2020-04-30,70.18356643356643
487,2020-04-30,72.08041958041959
488,2020-05-01,71.20590648072191
489,2020-05-02,74.766201804758
490,2020-05-03,71.20590648072191
491,2020-05-04,69.42575881870386
492,2020-05-05,69.42575881870386
493,2020-05-06,69.42575881870386
494,2020-05-07,67.6456111566858
495,2020-05-08,65.86546349466775
496,2020-05-09,74.766201804758
497,2020-05-10,74.766201804758
498,2020-05-11,71.20590648072191
499,2020-05-12,67.6456111566858
500,2020-05-13,69.42575881870386
501,2020-05-14,69.42575881870386
502,2020-05-15,67.6456111566858
503,2020-05-16,72.98605414273995
504,2020-05-17,76.54634946677604
505,2020-05-18,67.6456111566858
506,2020-05-19,69.42575881870386
507,2020-05-20,67.6456111566858
508,2020-05-21,69.42575881870386
509,2020-05-22,69.42575881870386
